Subject,EAR,Person Status,Person Type
10,0.10660219120378664,awake,glasses
10,0.13239529613158016,awake,glasses
10,0.08692634580416528,awake,glasses
10,0.1570443281409224,awake,glasses
10,0.11253521158331206,awake,glasses
10,0.13096089710859443,awake,glasses
10,0.08433218116200061,awake,glasses
10,0.1498067965875197,awake,glasses
10,0.08506106649670606,awake,glasses
10,0.1528211184961226,awake,glasses
10,0.09378496394091929,awake,glasses
10,0.14738847639105712,awake,glasses
10,0.10164965355264623,awake,glasses
10,0.12034471555707274,awake,glasses
10,0.1383530699302637,awake,glasses
10,0.1752657090366112,awake,glasses
10,0.1103890444199482,awake,glasses
10,0.17916949479525873,awake,glasses
10,0.13625157698224893,awake,glasses
10,0.19279227994027232,awake,glasses
10,0.12999371830637535,awake,glasses
10,0.17112846819649605,awake,glasses
10,0.19270103149722848,awake,glasses
10,0.1656778236224797,awake,glasses
10,0.1636015523347908,awake,glasses
10,0.1155282495387422,awake,glasses
10,0.16915203252795083,awake,glasses
10,0.1810276780406085,awake,glasses
10,0.18559454639954673,awake,glasses
10,0.15837639149911295,awake,glasses
10,0.1864143840623477,awake,glasses
10,0.21713252989179377,awake,glasses
10,0.14987360083126414,awake,glasses
10,0.2212622720764646,awake,glasses
10,0.18857013186667207,awake,glasses
10,0.2105776777818548,awake,glasses
10,0.16400870310421586,awake,glasses
10,0.20255795715831332,awake,glasses
10,0.15172014544786447,awake,glasses
10,0.16898502778917052,awake,glasses
10,0.07838974299030221,awake,glasses
10,0.13307700420504018,awake,glasses
10,0.13252949853206353,awake,glasses
10,0.13983448963057582,awake,glasses
10,0.09018787333208589,awake,glasses
10,0.10411533179358687,awake,glasses
10,0.1308345402535992,awake,glasses
10,0.19136864067868573,awake,glasses
10,0.15227521092426974,awake,glasses
10,0.17775551462282552,awake,glasses
10,0.14381349515831876,awake,glasses
10,0.15159390654568544,awake,glasses
10,0.14753864085633148,awake,glasses
10,0.16348708166809106,awake,glasses
10,0.14054875393870242,awake,glasses
10,0.1768062804764321,awake,glasses
10,0.09065732971455881,awake,glasses
10,0.15301857157309695,awake,glasses
10,0.12463522777819175,awake,glasses
10,0.18597561373397256,awake,glasses
10,0.08790992594738799,awake,glasses
10,0.1587409657686269,awake,glasses
10,0.17258459936475767,awake,glasses
10,0.18359469178070145,awake,glasses
10,0.132217894775374,awake,glasses
10,0.1240851146422129,awake,glasses
10,0.1626729580332137,awake,glasses
10,0.1894862193758317,awake,glasses
10,0.12304930182406064,awake,glasses
10,0.10233451367198554,awake,glasses
10,0.14854495357501174,awake,glasses
10,0.16183437674610995,awake,glasses
10,0.11735627915447347,awake,glasses
10,0.14418526794824868,awake,glasses
10,0.14120976029968346,awake,glasses
10,0.1558148412479008,awake,glasses
10,0.1303767827343098,awake,glasses
10,0.11542213930124154,awake,glasses
10,0.15752805473152814,awake,glasses
10,0.1850994498869525,awake,glasses
10,0.11629009079023774,awake,glasses
10,0.15751867852499474,awake,glasses
10,0.14034828603076085,awake,glasses
10,0.1800630789083893,awake,glasses
10,0.12164712983513742,awake,glasses
10,0.16467242282331235,awake,glasses
10,0.16259258977753976,awake,glasses
10,0.14545806301327444,awake,glasses
10,0.09643522982157166,awake,glasses
10,0.13051767466420494,awake,glasses
10,0.16202690329541927,awake,glasses
10,0.15831763038256874,awake,glasses
10,0.13610623180177517,awake,glasses
10,0.12898268342913438,awake,glasses
10,0.16265749674456112,awake,glasses
10,0.17142315565077038,awake,glasses
10,0.15413537698867885,awake,glasses
10,0.15472650839666002,awake,glasses
10,0.15719853555179814,awake,glasses
10,0.16441613135394223,awake,glasses
10,0.13154398208194326,awake,glasses
10,0.15004561961642798,awake,glasses
10,0.1630408708553734,awake,glasses
10,0.15779429987047597,awake,glasses
10,0.11575127534591047,awake,glasses
10,0.14678862468324866,awake,glasses
10,0.12080089099133598,awake,glasses
10,0.1502877575053988,awake,glasses
10,0.1112959282767107,awake,glasses
10,0.13174716135004272,awake,glasses
10,0.1366411324888549,awake,glasses
10,0.1718283678805618,awake,glasses
10,0.13552905577898466,awake,glasses
10,0.16122843728638736,awake,glasses
10,0.1515025884908487,awake,glasses
10,0.18839977488062196,awake,glasses
10,0.12037816144133709,awake,glasses
10,0.14903991295541846,awake,glasses
10,0.14835021735929552,awake,glasses
10,0.1810701105390655,awake,glasses
10,0.13537492817332414,awake,glasses
10,0.15569876289549328,awake,glasses
10,0.13228694076287442,awake,glasses
10,0.18508389154662244,awake,glasses
10,0.14499031278870878,awake,glasses
10,0.15288515821738424,awake,glasses
10,0.15367692505052932,awake,glasses
10,0.15341399488488466,awake,glasses
10,0.14779286853224263,awake,glasses
10,0.14201736729460424,awake,glasses
10,0.14297331359604087,awake,glasses
10,0.15562109085308712,awake,glasses
10,0.1283735140434807,awake,glasses
10,0.08596966208563042,awake,glasses
10,0.1040614789542097,awake,glasses
10,0.17081176290714198,awake,glasses
10,0.08371333197528275,awake,glasses
10,0.16419593201803073,awake,glasses
10,0.10201024649631359,awake,glasses
10,0.16079683070400713,awake,glasses
10,0.052852493103559335,awake,glasses
10,0.14452263319748943,awake,glasses
10,0.11357563344141468,awake,glasses
10,0.16370749314235605,awake,glasses
10,0.03840815550994004,awake,glasses
10,0.1529250328555351,awake,glasses
10,0.1110144269857868,awake,glasses
10,0.14421686094728287,awake,glasses
10,0.04988363972548002,awake,glasses
10,0.12717457095085444,awake,glasses
10,0.17637447946750412,awake,glasses
10,0.14659285380968634,awake,glasses
10,0.15149507472410084,awake,glasses
10,0.17413764021957284,awake,glasses
10,0.1588710536586716,awake,glasses
10,0.13876891672170377,awake,glasses
10,0.1724308212267161,awake,glasses
10,0.14037086226350712,awake,glasses
10,0.1195280391084075,awake,glasses
10,0.14514813478535543,awake,glasses
10,0.08450623535062904,awake,glasses
10,0.12537822929966624,awake,glasses
10,0.10061214669090328,awake,glasses
10,0.13421443376298223,awake,glasses
10,0.0881305758693316,awake,glasses
10,0.12642882167186875,awake,glasses
10,0.17231108639283865,awake,glasses
10,0.09921610333103356,awake,glasses
10,0.14843036914003654,awake,glasses
10,0.09214303708799051,awake,glasses
10,0.22413524435811577,awake,glasses
10,0.10927705304504896,awake,glasses
10,0.11046369453875754,awake,glasses
10,0.09556843642011789,awake,glasses
10,0.14239227850841923,awake,glasses
10,0.060628173252752035,awake,glasses
10,0.07018840196143339,awake,glasses
10,0.089792335562645,awake,glasses
10,0.138433223344937,awake,glasses
10,0.12066159729278322,awake,glasses
10,0.0590546332857146,awake,glasses
10,0.09638857577023752,awake,glasses
10,0.11949323686941468,awake,glasses
10,0.12675884505536988,awake,glasses
10,0.1002206939353519,awake,glasses
10,0.10565536681398874,awake,glasses
10,0.12274710243622342,awake,glasses
10,0.1267654948003506,awake,glasses
10,0.05352185074086706,awake,glasses
10,0.10803209751322274,awake,glasses
10,0.12549680392508578,awake,glasses
10,0.12326907044993915,awake,glasses
10,0.046543999717831464,awake,glasses
10,0.11916236591764157,awake,glasses
10,0.10837109931569933,awake,glasses
10,0.1361704661729491,awake,glasses
10,0.022532195152721333,awake,glasses
10,0.10209319464988455,awake,glasses
10,0.18803963457162598,awake,glasses
10,0.0625847832594701,awake,glasses
10,0.1455892361891438,awake,glasses
10,0.05310712885869885,awake,glasses
10,0.16271660306347094,awake,glasses
10,0.11139414329226915,awake,glasses
10,0.10888209184645259,awake,glasses
10,0.061265644877227195,awake,glasses
10,0.07969086708703946,awake,glasses
10,0.16851338960963352,awake,glasses
10,0.03883290305136167,awake,glasses
10,0.12188632346107654,awake,glasses
10,0.11618002329007066,awake,glasses
10,0.1477909665667339,awake,glasses
10,0.056406419788280274,awake,glasses
10,0.1394029790988282,awake,glasses
10,0.14051166423009104,awake,glasses
10,0.13237827634962507,awake,glasses
10,0.11770893168867727,awake,glasses
10,0.11456325415361351,awake,glasses
10,0.1363777894519813,awake,glasses
10,0.10769794962655667,awake,glasses
10,0.0924500306276867,awake,glasses
10,0.10953638276364633,awake,glasses
10,0.15187491145246285,awake,glasses
10,0.11630035331715272,awake,glasses
10,0.1422099043625919,awake,glasses
10,0.10330592130735092,awake,glasses
10,0.11291387581898497,awake,glasses
10,0.1018937629810973,awake,glasses
10,0.11060214413683703,awake,glasses
10,0.056677935465379053,awake,glasses
1,0.2485970490660262,awake,glasses
1,0.24142458675246473,awake,glasses
1,0.2391561895264999,awake,glasses
1,0.19402196882342868,awake,glasses
1,0.2335662352488135,awake,glasses
1,0.20600801495184484,awake,glasses
1,0.18788160188809183,awake,glasses
1,0.12227315760701285,awake,glasses
1,0.22952434763827448,awake,glasses
1,0.25127019539836676,awake,glasses
1,0.20356247614320072,awake,glasses
1,0.1885103598775636,awake,glasses
1,0.2472938870198343,awake,glasses
1,0.2025057972612779,awake,glasses
1,0.13243162925878046,awake,glasses
1,0.1211452655094635,awake,glasses
1,0.2561304596656604,awake,glasses
1,0.2646278400522658,awake,glasses
1,0.19219552339813561,awake,glasses
1,0.15421934842952434,awake,glasses
1,0.23809355620401262,awake,glasses
1,0.22451345571151848,awake,glasses
1,0.18698715234208485,awake,glasses
1,0.15424034899567413,awake,glasses
1,0.23832712486432728,awake,glasses
1,0.21498476116469234,awake,glasses
1,0.21646898708288265,awake,glasses
1,0.1488574395982158,awake,glasses
1,0.2610888208737422,awake,glasses
1,0.2158430143974539,awake,glasses
1,0.18069356848616663,awake,glasses
1,0.14985843515756475,awake,glasses
1,0.2606402932769302,awake,glasses
1,0.19209099253914597,awake,glasses
1,0.22928263126776605,awake,glasses
1,0.12248721833970815,awake,glasses
1,0.2695702509208118,awake,glasses
1,0.20049829274308156,awake,glasses
1,0.21129905150371278,awake,glasses
1,0.09912800248014286,awake,glasses
1,0.2508146360835237,awake,glasses
1,0.21251414552692197,awake,glasses
1,0.22928263126776605,awake,glasses
1,0.15153845957728004,awake,glasses
1,0.29340320366412265,awake,glasses
1,0.21893936345342935,awake,glasses
1,0.19397666690282483,awake,glasses
1,0.17824845653535618,awake,glasses
1,0.29849652859576503,awake,glasses
1,0.2563584720613602,awake,glasses
1,0.2614622155388885,awake,glasses
1,0.15971438557012924,awake,glasses
1,0.27648583536884075,awake,glasses
1,0.24652772854308497,awake,glasses
1,0.19647245646474332,awake,glasses
1,0.20088803558507795,awake,glasses
1,0.2988797226962365,awake,glasses
1,0.2527436427295636,awake,glasses
1,0.2658363146860201,awake,glasses
1,0.1433614053493889,awake,glasses
1,0.2988977565883437,awake,glasses
1,0.2480807623717629,awake,glasses
1,0.22928263126776605,awake,glasses
1,0.19215391126730869,awake,glasses
1,0.2735203712903973,awake,glasses
1,0.20195542927412302,awake,glasses
